symbol,timestamp,overfitting_detected,train_f1_score,validation_metrics_winrate,validation_metrics_precision,validation_metrics_recall,validation_metrics_f1_score,validation_metrics_confusion_matrix,financial_metrics_max_drawdown,financial_metrics_profit_factor,financial_metrics_avg_trade_duration,regime_distribution_N/A
USDJPY,2026-05-20T20:25:19.967651,False,0.7131827280526165,0.5389333333333334,0.5389333333333334,1.0,0.7003985444463697,"[[0, 3458], [0, 4042]]",13.0,2.3377674956622325,4h (Simulated),30000
USDJPY,2026-05-20T20:32:59.385585,False,0.7085665088247955,0.997300411994265,trend,trend,0.5489333333333334,0.5489333333333334,1.0,0.7087888439356116,"[[0, 3383], [0, 4117]]",9.0,2.433934377771209,4h (Simulated),30000
USDJPY,2026-05-20T20:43:31.069228,False,0.7147997943679671,0.9962921861365817,trend,trend,0.5436,0.5436,1.0,0.7043275459963722,"[[0, 3423], [0, 4077]]",1.1494252873563218,0.004764241893076249,4h (Simulated),30000
USDJPY,2026-05-20T21:02:18.588296,False,0.7107125461994671,0.9948843826774373,trend,trend,0.5516,0.5516,1.0,0.7110079917504512,"[[0, 3363], [0, 4137]]",3.225806451612903,0.004920606601248885,4h (Simulated),30000
USDJPY,2026-05-20T21:11:11.484405,False,0.7097514121053989,0.9984734544012527,trend,trend,0.5489333333333334,0.5489333333333334,1.0,0.7087888439356116,"[[0, 3383], [0, 4117]]",1.3157894736842104,0.004867868755542418,4h (Simulated),30000
USDJPY,2026-05-20T21:24:45.170664,False,0.7091222030981067,0.9987066807832294,trend,trend,0.5505333333333333,0.5505333333333333,1.0,0.7101212486026314,"[[0, 3371], [0, 4129]]",1.6198704103671708,0.004899436369029961,4h (Simulated),30000
USDJPY,2026-05-20T21:33:32.230700,False,0.7145795246800731,0.9934257244775325,trend,trend,0.5468,0.5468,1.0,0.7070080165502974,"[[0, 3399], [0, 4101]]",1.312910284463895,0.0048261253309797,4h (Simulated),30000
USDJPY,2026-05-22T19:22:12.907027,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
USDJPY,2026-05-22T19:33:51.663051,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
USDJPY,2026-05-22T19:45:23.713203,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
USDJPY,2026-05-22T19:47:57.289860,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
USDJPY,2026-05-23T07:26:08.479567,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
USDJPY,2026-05-23T09:45:12.749012,True,0.6779418770843259,0.9275308761643962,trend,sideway,0.4270986745213549,0.4270986745213549,0.32293986636971045,0.3677869372225745,"[[843, 389], [608, 290]]",9.900990099009901,1.4910025706940875,4h (Simulated),7905,615
