setup,trade_count,winrate,profit_factor,sharpe,avg_holding_time,expectancy,mc_worst_case_dd,mc_ruin_probability,verdict,reason
trend continuation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,No trades
breakout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,No trades
mean reversion,3,1.0,inf,1074.745050861011,145.0,1.8962572777600855,0.0,0.0,APPROVED,Passed all criteria
session breakout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,No trades
RSI recovery,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,No trades
volatility expansion,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,No trades
