symbol,timestamp,overfitting_detected,train_f1_score,validation_metrics_winrate,validation_metrics_precision,validation_metrics_recall,validation_metrics_f1_score,validation_metrics_confusion_matrix,financial_metrics_max_drawdown,financial_metrics_profit_factor,financial_metrics_avg_trade_duration,regime_distribution_N/A
EURUSD,2026-05-20T20:25:07.122453,False,0.7063761283274881,0.56,0.56,1.0,0.717948717948718,"[[0, 3300], [0, 4200]]",16.0,2.5454545454545454,4h (Simulated),30000
EURUSD,2026-05-20T20:32:45.493881,False,0.7139550170043726,0.9993709045159005,trend,trend,0.5573333333333333,0.5573333333333333,1.0,0.7157534246575342,"[[0, 3320], [0, 4180]]",11.0,2.5180722891566263,4h (Simulated),30000
EURUSD,2026-05-20T20:43:17.786202,False,0.7137344576246963,0.9946962231470552,trend,trend,0.5422666666666667,0.5422666666666667,1.0,0.7032074003631019,"[[0, 3433], [0, 4067]]",1.2738853503184715,0.00473871249635887,4h (Simulated),30000
EURUSD,2026-05-20T21:02:05.804498,False,0.710786420283627,0.9942754956234622,trend,trend,0.5548,0.5548,1.0,0.7136609210187805,"[[0, 3339], [0, 4161]]",1.9189765458422177,0.004984725965858042,4h (Simulated),30000
EURUSD,2026-05-20T21:10:56.729551,False,0.7042529298280975,0.9979239520483653,trend,trend,0.5496,0.5496,1.0,0.7093443469282396,"[[0, 3378], [0, 4122]]",1.417004048582996,0.004880994671403197,4h (Simulated),30000
EURUSD,2026-05-20T21:24:32.875255,False,0.7094924003441354,0.9968395503407015,trend,trend,0.5448,0.5448,1.0,0.705334023821854,"[[0, 3414], [0, 4086]]",1.5479876160990713,0.004787346221441125,4h (Simulated),30000
EURUSD,2026-05-20T21:33:18.978906,False,0.7084553125538143,0.9972765654409046,trend,trend,0.554,0.554,1.0,0.712998712998713,"[[0, 3345], [0, 4155]]",2.083333333333333,0.004968609865470852,4h (Simulated),30000
EURUSD,2026-05-22T19:21:51.215982,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
EURUSD,2026-05-22T19:33:33.482667,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
EURUSD,2026-05-22T19:45:12.050054,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
EURUSD,2026-05-22T19:47:51.189031,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
EURUSD,2026-05-23T07:25:49.832872,False,0.04916280726754542,0.9896394897717866,transition,sideway,0.2786885245901639,0.2786885245901639,0.008740359897172237,0.01694915254237288,"[[5511, 44], [1928, 17]]",5.721393034825871,0.7727272727272727,4h (Simulated),20912,6417,2671
EURUSD,2026-05-23T09:44:56.855794,True,0.6779418770843259,0.9275308761643962,trend,sideway,0.4270986745213549,0.4270986745213549,0.32293986636971045,0.3677869372225745,"[[843, 389], [608, 290]]",9.900990099009901,1.4910025706940875,4h (Simulated),7905,615
